geneSymbol	geneLength
AC115837.2	677
AC115989.1	563
AC116003.1	2757
AC116003.2	748
AC116003.3	541
AC116021.1	653
AC116025.1	418
AC116025.2	443
AC116035.1	1104
AC116036.2	462
AC116038.1	408
AC116049.2	754
AC116096.1	2314
AC116099.1	761
AC116158.1	2129
AC116158.2	553
AC116158.3	6449
AC116312.1	314
AC116317.1	2330
AC116337.3	846
AC116337.4	527
AC116345.1	3307
AC116345.3	449
AC116345.4	2321
AC116348.1	528
AC116348.2	577
AC116348.3	699
AC116350.1	746
AC116351.1	3482
AC116351.2	1585
AC116361.1	1030
AC116362.1	4422
AC116362.2	1338
AC116366.1	3730
AC116366.2	999
AC116407.1	1599
AC116407.2	860
AC116424.1	718
AC116428.1	1280
AC116447.1	453
AC116456.1	1229
AC116534.1	2525
AC116535.1	2428
AC116552.1	733
AC116563.1	396
AC116565.1	3011
AC116609.1	535
AC116609.2	256
AC116609.3	577
AC116611.1	3324
AC116612.1	562
AC116616.1	366
AC116634.1	447
AC116651.1	556
AC116666.1	551
AC116667.1	2072
AC116667.2	823
AC116903.1	539
AC116903.2	1304
AC116913.1	2168
AC116914.1	398
AC116914.2	291
AC117373.1	392
AC117373.2	758
AC117377.1	1038
AC117382.2	3151
AC117383.1	422
AC117386.1	606
AC117386.2	1032
AC117394.2	323
AC117395.1	721
AC117422.1	379
AC117430.1	801
AC117435.1	1797
AC117453.1	10946
AC117460.1	467
AC117461.1	2066
AC117462.1	554
AC117464.1	3783
AC117465.1	522
AC117469.1	962
AC117473.1	392
AC117480.1	1006
AC117481.1	790
AC117488.1	1916
AC117490.2	594
AC117498.1	713
AC117500.1	1561
AC117500.2	666
AC117500.3	617
AC117500.6	1377
AC117503.1	321
AC117503.5	1299
AC117505.1	699
AC117509.1	247
AC117522.2	657
AC117528.1	1492
AC117569.1	986
AC117569.2	1337
AC117834.1	947
AC117834.2	991
AC117944.1	641
AC117945.1	778
AC117945.2	1521
AC118344.1	1462
AC118345.1	366
AC118469.2	486
AC118549.1	9008
AC118553.1	655
AC118555.1	696
AC118653.1	570
AC118658.1	459
AC118754.1	370
AC118754.2	537
AC118755.1	195
AC118755.2	212
AC118757.1	731
AC118758.3	24137
AC119150.1	563
AC119396.1	1646
AC119396.2	363
AC119403.1	2762
AC119424.1	350
AC119427.1	556
AC119428.1	383
AC119428.2	886
AC119673.1	1155
AC119673.2	6230
AC119674.1	7878
AC119676.1	81
AC119677.1	471
AC119800.1	423
AC119868.2	432
AC120024.1	995
AC120036.4	2491
AC120036.5	956
AC120042.1	550
AC120042.2	667
AC120045.1	1198
AC120049.1	2065
AC120053.1	736
AC120114.1	1762
AC120114.2	658
AC120193.1	1341
AC120194.1	972
AC120349.1	282
AC120498.1	476
AC120498.10	505
AC120498.2	249
AC120498.3	542
AC120498.4	320
AC120498.6	338
AC120498.8	531
AC120498.9	3867
AC121154.1	430
AC121161.2	659
AC121247.1	1232
AC121320.1	839
AC121333.1	2709
AC121334.3	2503
AC121334.4	578
AC121338.1	1287
AC121338.2	1744
AC121342.1	550
AC121493.1	450
AC121757.1	624
AC121757.2	1643
AC121761.1	1482
AC121761.2	689
AC121764.1	563
AC121764.2	587
AC121764.3	384
AC122108.1	424
AC122108.2	526
AC122129.1	1815
AC122129.2	466
AC122134.1	1677
AC122136.1	478
AC122138.1	646
AC122683.1	717
AC122685.1	681
AC122688.2	585
AC122688.5	950
AC122694.1	563
AC122697.1	3635
AC122707.1	219
AC122710.1	2022
AC122710.2	541
AC122719.1	559
AC122719.2	420
AC122719.3	2899
AC123023.1	555
AC123023.2	2188
AC123512.1	2169
AC123567.2	3109
AC123595.1	1046
AC123595.2	1372
AC123768.1	750
AC123768.2	732
AC123768.3	1813
AC123768.4	701
AC123768.5	2228
AC123777.1	1259
AC123784.1	1002
AC123786.1	661
AC123786.3	1786
AC123788.1	783
AC123905.1	541
AC123912.1	447
AC123912.2	2612
AC123912.4	2262
AC124014.1	380
AC124016.1	906
AC124016.2	1899
AC124017.1	3095
AC124045.1	1953
AC124057.1	404
AC124066.1	609
AC124067.1	169
AC124067.2	742
AC124067.3	3639
AC124067.4	2379
AC124068.2	1109
AC124069.1	735
AC124242.1	3653
AC124242.3	722
AC124248.1	1352
AC124248.2	1794
AC124254.2	843
AC124276.1	899
AC124276.2	550
AC124283.1	1190
AC124283.2	318
AC124283.3	594
AC124290.1	11308
AC124290.2	442
AC124301.1	943
AC124312.2	427
AC124312.3	1236
AC124312.5	949
AC124319.1	653
AC124319.2	526
AC124784.1	571
AC124798.1	2883
AC124798.2	1113
AC124798.3	609
AC124804.1	4838
AC124852.1	14412
AC124854.1	761
AC124861.1	429
AC124861.2	2524
AC124861.3	730
AC124862.1	837
AC124864.3	869
AC124893.1	545
AC124944.3	1617
AC124947.1	1295
AC125257.1	2930
AC125257.2	156
AC125421.1	2458
AC125421.2	1027
AC125437.1	714
AC125437.3	3913
AC125494.1	2399
AC125494.2	657
AC125494.3	455
AC125603.1	366
AC125603.2	876
AC125603.3	486
AC125603.4	2699
AC125611.3	680
AC125611.4	4166
AC125613.1	1651
AC125616.1	2263
AC125618.1	563
AC125793.1	1493
AC125807.2	3514
AC126118.1	628
AC126121.2	698
AC126121.3	3755
AC126175.2	758
AC126177.3	3143
AC126178.1	926
AC126182.3	1466
AC126283.1	364
AC126323.2	3716
AC126323.3	564
AC126323.5	592
AC126323.6	3624
AC126335.1	510
AC126365.1	1514
AC126407.1	566
AC126468.1	483
AC126544.2	536
AC126614.1	548
AC126696.1	756
AC126696.2	522
AC126696.3	1273
AC126755.2	543
AC126755.3	1459
AC126763.1	2118
AC126768.1	850
AC126768.2	560
AC126768.3	509
AC126773.3	547
AC126773.4	1682
AC126773.6	3043
AC127002.2	455
AC127024.2	894
AC127024.3	460
AC127024.4	308
AC127024.5	462
AC127024.6	424
AC127029.2	502
AC127035.1	1178
AC127070.1	555
AC127070.2	3263
AC127164.1	4196
AC127459.1	2768
AC127459.2	2381
AC127496.1	4207
AC127496.2	368
AC127496.3	494
AC127496.4	549
AC127496.5	2295
AC127496.6	455
AC127502.2	2351
AC127520.1	2017
AC127521.1	1059
AC127522.1	751
AC127526.1	450
AC127526.2	1377
AC127526.4	1173
AC127526.5	1217
AC127537.1	749
AC127540.1	689
AC127540.2	2184
AC127894.1	1749
AC128685.1	1834
AC128687.2	566
AC128687.3	262
AC128707.1	3246
AC128709.1	600
AC128709.2	558
AC128709.3	626
AC129102.1	525
AC129492.1	1804
AC129492.2	517
AC129492.4	465
AC129507.1	2284
AC129507.2	748
AC129507.3	913
AC129507.4	432
AC129510.1	555
AC129510.2	345
AC129803.1	2086
AC129807.1	2477
AC129915.3	948
AC129926.1	614
AC129926.2	1157
AC130307.1	658
AC130324.1	831
AC130324.2	638
AC130324.3	542
AC130343.1	459
AC130343.2	426
AC130352.1	661
AC130371.1	628
AC130371.2	611
AC130404.1	739
AC130404.2	1157
AC130415.1	1010
AC130456.1	1363
AC130456.2	2278
AC130456.3	633
AC130456.4	665
AC130456.5	510
AC130466.1	5701
AC130467.1	766
AC130469.1	388
AC130650.1	415
AC130650.2	2403
AC130651.1	536
AC130710.1	1262
AC130814.1	1264
AC130888.1	454
AC130895.1	493
AC131009.1	426
AC131009.2	770
AC131009.3	287
AC131011.1	672
AC131025.1	588
AC131025.2	422
AC131025.3	857
AC131094.1	1425
AC131097.1	739
AC131097.2	2250
AC131097.3	571
AC131157.1	722
AC131159.1	213
AC131159.2	702
AC131182.1	657
AC131210.1	441
AC131211.1	483
AC131212.1	668
AC131235.2	386
AC131235.3	620
AC131237.1	972
AC131238.1	328
AC131254.1	3016
AC131254.2	550
AC131254.3	564
AC131274.1	254
AC131391.1	520
AC131568.1	2038
AC131571.1	6605
AC131649.1	1313
AC131902.1	2172
AC131934.1	912
AC131944.1	1785
AC131953.1	477
AC131953.2	581
AC131956.1	258
AC131956.2	1641
AC131956.3	430
AC131971.1	1482
AC132153.1	4548
AC132192.1	597
AC132192.2	1147
AC132216.1	1158
AC132217.1	373
AC132217.2	5584
AC132219.1	478
AC132660.2	133
AC132803.1	1636
AC132807.1	458
AC132807.2	339
AC132825.2	504
AC132825.3	4710
AC132872.1	1195
AC132872.2	2368
AC132872.3	629
AC132872.5	4273
AC132938.1	360
AC132938.2	680
AC132938.3	1097
AC132938.6	1303
AC133040.1	1012
AC133065.1	742
AC133106.1	397
AC133480.1	381
AC133485.2	2484
AC133485.3	262
AC133485.5	866
AC133485.7	6197
AC133528.1	805
AC133530.1	1559
AC133540.1	1019
AC133550.2	295
AC133550.3	544
AC133551.1	1806
AC133552.5	534
AC133565.1	488
AC133634.1	566
AC133637.2	1265
AC133644.2	540
AC133681.1	1344
AC133785.1	3917
AC133865.1	339
AC133919.1	416
AC133919.2	952
AC133961.1	762
AC134043.2	638
AC134312.1	3616
AC134312.2	608
AC134312.3	778
AC134312.4	559
AC134312.5	2376
AC134312.6	444
AC134349.1	385
AC134407.1	709
AC134508.1	2977
AC134508.2	1346
AC134682.1	3377
AC134684.11	1395
AC134684.8	1395
AC134684.9	1395
AC134772.1	1051
AC134775.1	464
AC134978.1	788
AC134980.2	2331
AC134981.1	348
AC135012.1	7430
AC135012.2	479
AC135012.3	4039
AC135048.2	561
AC135048.3	328
AC135050.1	3593
AC135050.3	449
AC135050.4	504
AC135050.5	543
AC135050.6	756
AC135068.1	1084
AC135068.2	353
AC135068.3	1125
AC135068.7	568
AC135068.8	353
AC135068.9	355
AC135166.1	1847
AC135178.2	537
AC135178.4	1408
AC135178.5	548
AC135178.6	674
AC135279.4	1311
AC135388.1	353
AC135457.1	664
AC135507.1	561
AC135726.1	539
AC135776.1	2481
AC135776.2	714
AC135782.1	2155
AC135782.2	472
AC135782.3	2105
AC135803.1	565
AC135893.1	1278
AC135895.1	1058
AC136188.1	342
AC136285.1	1447
AC136285.2	378
AC136285.3	3034
AC136297.1	3283
AC136352.2	2627
AC136352.3	600
AC136424.1	542
AC136424.2	563
AC136428.1	349
AC136431.1	1014
AC136431.2	681
AC136443.3	676
AC136443.4	579
AC136469.1	511
AC136475.1	1887
AC136475.2	392
AC136475.3	860
AC136475.4	280
AC136475.5	1277
AC136475.7	592
AC136475.8	386
AC136475.9	497
AC136489.1	1725
AC136601.1	666
AC136604.2	1966
AC136604.3	1525
AC136612.1	1426
AC136616.1	3660
AC136616.2	473
AC136616.3	285
AC136618.1	699
AC136624.1	542
AC136624.2	567
AC136628.1	561
AC136628.4	535
AC136698.1	546
AC136777.1	369
AC136944.1	560
AC136944.2	3971
AC136944.4	660
AC137056.1	1069
AC137494.1	477
AC137561.1	833
AC137579.1	836
AC137579.2	551
AC137590.1	495
AC137590.2	240
AC137630.1	782
AC137630.2	660
AC137630.3	391
AC137630.4	479
AC137695.3	1030
AC137735.1	419
AC137735.2	1021
AC137735.3	1799
AC137761.1	601
AC137770.1	530
AC137810.1	540
AC137834.2	701
AC137894.1	547
AC137894.3	944
AC137932.1	1872
AC137932.2	1360
AC137932.3	3660
AC137936.1	845
AC138024.1	699
AC138028.1	2238
AC138028.2	4797
AC138028.3	213
AC138028.4	1845
AC138028.5	558
AC138028.6	1482
AC138035.1	1838
AC138035.2	727
AC138057.1	696
AC138089.1	967
AC138123.1	2914
AC138123.2	2985
AC138150.1	696
AC138150.2	2381
AC138207.1	545
AC138207.2	492
AC138207.4	1661
AC138207.5	409
AC138207.7	668
AC138207.9	581
AC138230.1	664
AC138304.1	424
AC138305.1	2376
AC138305.2	556
AC138331.1	376
AC138356.1	2086
AC138356.3	1228
AC138360.1	386
AC138393.3	573
AC138409.3	2775
AC138420.1	738
AC138466.1	391
AC138466.3	221
AC138470.2	800
AC138474.1	523
AC138512.1	434
AC138625.1	483
AC138625.2	666
AC138627.1	7473
AC138646.1	2045
AC138647.1	660
AC138647.2	947
AC138649.1	5329
AC138655.1	1295
AC138696.2	223
AC138761.1	3322
AC138781.1	505
AC138811.1	361
AC138819.1	431
AC138854.1	1059
AC138869.2	262
AC138869.3	2486
AC138894.2	371
AC138904.1	2481
AC138904.3	2681
AC138907.1	2405
AC138907.2	866
AC138907.3	262
AC138907.7	812
AC138915.3	4147
AC138932.2	1459
AC138932.5	563
AC138956.1	504
AC138956.2	528
AC138965.1	1739
AC138965.2	568
AC138969.1	7897
AC138969.3	1459
AC139019.1	3369
AC139099.1	2625
AC139099.2	3915
AC139100.1	2232
AC139100.2	662
AC139149.1	957
AC139426.2	251
AC139491.1	1516
AC139491.3	2559
AC139491.4	354
AC139491.8	1418
AC139493.2	3019
AC139497.1	501
AC139530.1	1977
AC139530.3	690
AC139712.3	639
AC139718.1	300
AC139718.2	481
AC139720.1	512
AC139720.2	440
AC139722.1	867
AC139768.1	898
AC139769.2	2291
AC139792.1	647
AC139795.2	2860
AC139795.3	541
AC139834.1	1597
AC139887.1	286
AC139887.2	4671
AC139887.3	713
AC139887.4	719
AC139887.5	1735
AC140118.1	532
AC140118.2	2584
AC140121.1	2914
AC140125.1	684
AC140125.2	1517
AC140125.3	1313
AC140134.2	1597
AC140168.1	972
AC140481.1	1657
AC140481.2	695
AC140658.1	2586
AC140658.2	346
AC140725.1	1558
AC140847.1	534
AC140847.2	2152
AC140912.1	1141
AC141002.1	279
AC141257.1	2239
AC141257.2	540
AC141272.1	288
AC141273.1	642
AC141424.1	1323
AC141586.2	572
AC141586.3	1838
AC141930.1	786
AC141930.2	762
AC142086.1	2389
AC142086.4	650
AC142116.2	695
AC142472.1	1741
AC144450.1	1641
AC144521.1	956
AC144568.2	972
AC144652.1	1624
AC144831.1	2656
AC144833.1	4089
AC144836.1	340
AC145098.1	434
AC145124.1	1361
AC145141.1	567
AC145141.2	501
AC145146.1	427
AC145207.1	691
AC145207.2	762
AC145207.3	529
AC145207.4	450
AC145207.5	2682
AC145207.6	782
AC145207.7	958
AC145207.8	563
AC145212.1	2179
AC145285.2	1963
AC145285.3	540
AC145285.6	1539
AC145343.1	1378
AC145350.2	1506
AC145350.4	866
AC145423.2	239
AC145423.3	467
AC145543.1	586
AC145625.1	592
AC145625.2	777
AC146507.3	1225
AC146944.4	718
AC147067.1	579
AC147067.2	289
AC147651.1	4085
AC147651.2	572
AC147651.3	420
AC147651.4	731
AC148476.1	705
AC148477.1	476
AC148477.10	514
AC148477.2	3039
AC148477.3	1819
AC148477.4	1793
AC156455.1	1831
AC159540.1	555
AC159540.2	4777
AC171558.1	1343
AC171558.3	1084
AC174065.1	5021
AC174469.1	500
AC183088.3	1765
AC187653.1	1087
AC188616.1	1836
AC188617.1	5584
AC188617.2	2284
AC207130.1	2340
AC209005.1	956
AC209154.1	3801
AC211433.1	2922
AC211433.2	387
AC211476.2	708
AC211476.6	2085
AC211486.2	280
AC211486.5	775
AC211486.6	798
AC211486.7	798
AC211486.8	798
AC213203.1	510
AC213203.2	831
AC215217.1	390
AC215522.2	1556
AC215522.3	441
AC217774.1	517
AC217774.2	560
AC226101.1	747
AC226118.1	2146
AC231533.1	925
AC231656.1	423
AC231759.2	3856
AC231981.1	974
AC232271.1	2715
AC232271.2	839
AC232271.3	4190
AC233263.6	1963
AC233266.2	528
AC233280.1	1684
AC233296.1	4172
AC233701.1	4204
AC233702.5	396
AC233702.7	965
AC233723.1	651
AC233728.1	218
AC233755.1	351
AC233755.2	294
AC233976.1	2211
AC233976.2	1451
AC233992.1	444
AC233992.3	485
AC234031.1	1857
AC234582.1	2466
AC234582.2	568
AC234644.2	544
AC234771.1	250
AC234772.2	528
AC234775.3	656
AC234775.4	2772
AC234781.1	1721
AC234917.1	316
AC234917.2	682
AC234917.3	2674
AC235097.1	681
AC236972.3	1232
AC236972.4	6186
AC237221.1	4691
AC239584.1	732
AC239585.1	2369
AC239585.2	760
AC239727.1	623
AC239799.1	2002
AC239799.2	1804
AC239800.2	2675
AC239802.1	406
AC239802.2	554
AC239803.1	430
AC239804.1	869
AC239809.3	16052
AC239860.4	1992
AC239868.1	1234
AC240274.1	4520
AC240565.1	1373
AC240565.2	2096
AC241644.1	446
AC241644.2	480
AC241644.3	668
AC242022.1	1565
AC242022.2	593
AC242426.2	4139
AC242842.1	447
AC242988.1	714
AC242988.2	1155
AC243547.1	408
AC243547.2	234
AC243562.3	1212
AC243571.1	478
AC243571.2	1095
AC243585.1	607
AC243585.2	508
AC243654.1	293
AC243654.3	735
AC243772.2	3543
AC243773.1	544
AC243773.2	256
AC243829.1	1401
AC243829.2	610
AC243829.4	1706
AC243829.5	247
AC243830.1	2446
AC243830.2	630
AC243830.3	376
AC243960.1	1440
AC243960.3	969
AC243961.1	384
AC243964.3	2430
AC243965.1	781
AC243965.2	2671
AC243967.2	567
AC243967.3	2265
AC243972.1	570
AC244033.2	3586
AC244034.2	509
AC244035.1	630
AC244035.2	271
AC244035.4	772
AC244090.1	598
AC244090.3	792
AC244093.3	411
AC244093.4	710
AC244093.5	1067
AC244100.2	3952
AC244100.3	1919
AC244100.4	388
AC244102.1	848
AC244102.3	966
AC244102.4	674
AC244131.2	512
AC244153.1	1248
AC244197.2	655
AC244213.1	1217
AC244250.1	451
AC244250.4	2412
AC244394.2	884
AC244452.3	283
AC244453.1	494
AC244453.2	3543
AC244453.3	459
AC244472.1	2037
AC244502.1	9092
AC244502.3	844
AC244517.1	2086
AC244517.11	1528
AC244517.12	663
AC244517.2	1096
AC244517.4	946
AC244517.5	3126
AC244517.7	398
AC244517.9	434
AC244636.3	1268
AC245008.1	476
AC245014.1	381
AC245014.3	347
AC245033.2	421
AC245036.5	847
AC245041.1	826
AC245041.2	2498
AC245052.1	410
AC245052.4	4158
AC245052.7	359
AC245056.1	384
AC245060.2	524
AC245060.5	3293
AC245060.6	8420
AC245088.2	384
AC245100.1	3386
AC245100.6	442
AC245123.1	2214
AC245128.3	748
AC245140.1	341
AC245140.2	1939
AC245140.3	680
AC245164.1	412
AC245164.2	1792
AC245177.1	2369
AC245187.1	559
AC245187.2	1473
AC245297.2	565
AC245297.3	4291
AC245407.2	668
AC245427.1	263
AC245427.2	1291
AC245452.1	37876
AC245452.5	780
AC245519.1	512
AC245519.2	475
AC245748.3	241
AC245884.1	529
AC245884.10	337
AC245884.8	880
AC245884.9	483
AC246680.1	494
AC246785.3	314
AC246787.2	485
AC246793.1	3111
AC246817.1	8868
AC246817.2	10350
AC247036.1	389
AC253536.3	558
AC253536.6	663
AC253572.1	1111
AC253572.2	1312
AC253576.2	580
AC254562.2	667
AC254562.3	631
AC254629.1	2555
AC254633.1	345
ACAA1	7106
ACAA2	4920
ACACA	13022
ACACB	14505
ACAD10	8931
ACAD11	5033
ACAD8	7174
ACAD9	4327
ACADL	5152
ACADM	4783
ACADS	2609
ACADSB	6255
ACADVL	4820
ACAN	10911
ACAP1	7420
ACAP2	11096
ACAP2-IT1	690
ACAP3	8707
ACAT1	5869
ACAT2	2639
ACBD3	3589
ACBD3-AS1	535
ACBD4	3776
ACBD5	4371
ACBD6	7512
ACBD7	3546
ACCS	5841
ACCSL	1867
ACD	3223
ACE	8365
ACE2	3926
ACER1	1428
ACER2	2773
ACER3	8442
ACHE	4074
ACIN1	9110
ACKR1	2106
ACKR2	5460
ACKR3	2070
ACKR4	2669
ACLY	5208
ACMSD	2716
ACO1	7555
ACO2	4049
ACOD1	2159
ACOT1	1686
ACOT11	9768
ACOT12	2453
ACOT13	4394
ACOT2	2393
ACOT4	2362
ACOT6	1699
ACOT7	4124
ACOT8	4354
ACOT9	6244
ACOX1	8286
ACOX2	3823
ACOX3	3846
ACOXL	5747
ACOXL-AS1	5839
ACP1	4160
ACP2	3484
ACP4	1342
ACP5	2919
ACP6	11993
ACP7	3044
ACPP	4280
ACR	2064
ACRBP	2816
ACRV1	1963
ACSBG1	8148
ACSBG2	3447
ACSF2	5797
ACSF3	14618
ACSL1	6284
ACSL3	7232
ACSL4	6546
ACSL5	4236
ACSL6	16996
ACSM1	2871
ACSM2A	8195
ACSM2B	8158
ACSM3	7510
ACSM4	2477
ACSM5	3963
ACSM6	2807
ACSS1	8691
ACSS2	5248
ACSS3	18465
ACTA1	1495
ACTA2	2976
ACTA2-AS1	3183
ACTB	3413
ACTBL2	2794
ACTC1	2290
ACTG1	2920
ACTG2	3811
ACTL10	1583
ACTL6A	3668
ACTL6B	2376
ACTL7A	1491
ACTL7B	1399
ACTL8	1844
ACTL9	1396
ACTN1	10626
ACTN1-AS1	936
ACTN2	6061
ACTN3	3460
ACTN4	6104
ACTR10	4039
ACTR1A	4655
ACTR1B	2853
ACTR2	4347
ACTR3	11946
ACTR3B	6024
ACTR3C	6460
ACTR5	2547
ACTR6	3813
ACTR8	4016
ACTRT1	1437
ACTRT2	1437
ACTRT3	1671
ACVR1	4012
ACVR1B	5658
ACVR1C	9054
ACVR2A	6448
ACVR2B	15705
ACVR2B-AS1	2517
ACVRL1	5040
ACY1	4727
ACY3	1371
ACYP1	1803
ACYP2	4964
AD000090.1	494
AD000671.3	2040
AD001527.1	379
ADA	2809
ADA2	8704
ADAD1	2699
ADAD2	4111
ADAL	5735
ADAM10	15979
ADAM11	4813
ADAM12	9860
ADAM15	6584
ADAM17	10728
ADAM18	3826
ADAM19	7704
ADAM2	2905
ADAM20	2795
ADAM21	2647
ADAM22	12199
ADAM23	6425
ADAM28	9318
ADAM29	5957
ADAM30	2983
ADAM32	10050
ADAM33	5834
ADAM7	4483
ADAM8	4763
ADAM9	7030
ADAMDEC1	2438
ADAMTS1	7055
ADAMTS10	5705
ADAMTS12	9605
ADAMTS13	5708
ADAMTS14	5566
ADAMTS15	5673
ADAMTS16	5863
ADAMTS17	8394
ADAMTS18	6598
ADAMTS19	5392
ADAMTS19-AS1	3314
ADAMTS2	8755
ADAMTS20	7524
ADAMTS3	7007
ADAMTS4	10338
ADAMTS5	9765
ADAMTS6	8565
ADAMTS7	7760
ADAMTS8	4141
ADAMTS9	10680
ADAMTS9-AS1	7003
ADAMTS9-AS2	8246
ADAMTSL1	13446
ADAMTSL2	4677
ADAMTSL3	9752
ADAMTSL4	6432
ADAMTSL4-AS1	2622
ADAMTSL5	3621
ADAP1	5063
ADAP2	3750
ADAR	9629
ADARB1	10049
ADARB2	10567
ADARB2-AS1	1125
ADAT1	4486
ADAT2	7197
ADAT3	2216
ADCK1	5293
ADCK2	3110
ADCK5	2742
ADCY1	13966
ADCY10	6141
ADCY2	17608
ADCY3	6058
ADCY4	8067
ADCY5	8873
ADCY6	8410
ADCY6-DT	554
ADCY7	8630
ADCY8	4444
ADCY9	10613
ADCYAP1	3877
ADCYAP1R1	6832
ADD1	13227
ADD2	12673
ADD3	6539
ADD3-AS1	9085
ADGB	7771
ADGRA1	6503
ADGRA1-AS1	5419
ADGRA2	7084
ADGRA3	9261
ADGRB1	7356
ADGRB2	7756
ADGRB3	6570
ADGRD1	14718
ADGRD1-AS1	1277
ADGRD2	5555
ADGRE1	3707
ADGRE2	8642
ADGRE3	2837
ADGRE5	5382
ADGRF1	12383
ADGRF2	6395
ADGRF3	5761
ADGRF4	3391
ADGRF5	6601
ADGRG1	8659
ADGRG2	10157
ADGRG3	3240
ADGRG4	10076
ADGRG5	5630
ADGRG6	8473
ADGRG7	4079
ADGRL1	8487
ADGRL2	7754
ADGRL3	13991
ADGRL3-AS1	947
ADGRL4	5798
ADGRV1	33822
ADH1A	2231
ADH1B	10770
ADH1C	1574
ADH4	2453
ADH5	4866
ADH6	4401
ADH7	3108
ADHFE1	3378
ADI1	5350
ADIG	1033
ADIPOQ	4599
ADIPOQ-AS1	3443
ADIPOR1	3113
ADIPOR2	5831
ADIRF	758
ADIRF-AS1	5748
ADK	4658
ADM	2325
ADM2	4289
ADM5	1718
ADNP	8439
ADNP-AS1	1049
ADNP2	5657
ADO	3760
ADORA1	4191
ADORA2A	4190
ADORA2A-AS1	4031
ADORA2B	2551
ADORA3	2687
ADPGK	5931
ADPGK-AS1	5050
ADPRH	4615
ADPRHL1	10924
ADPRHL2	1651
ADPRM	1945
ADRA1A	6749
ADRA1B	3147
ADRA1D	3004
ADRA2A	3879
ADRA2B	3696
ADRA2C	2179
ADRB1	3039
ADRB2	3443
ADRB3	2876
ADRM1	2142
ADSL	7111
ADSS	3441
ADSSL1	5775
ADTRP	4150
AEBP1	4971
AEBP2	6754
AEN	5976
AF001548.1	550
AF001548.2	836
AF001550.1	573
AF015262.1	698
AF015720.1	349
AF038458.2	600
AF038458.3	500
AF064858.1	6983
AF064858.2	292
AF064860.1	544
AF064860.2	1786
AF064866.1	1237
AF067845.1	1192
AF067845.2	3049
AF067845.4	480
AF067845.5	437
AF096876.1	444
AF099810.1	525
AF106564.1	2553
AF107885.2	1619
AF111167.1	874
AF111167.2	4059
AF111169.1	721
AF111169.2	756
AF111169.3	954
AF111169.4	1512
AF117829.1	14402
AF121898.1	2921
AF123462.1	446
AF124730.1	327
AF127577.1	562
AF127577.2	824
AF127577.3	781
AF127577.5	446
AF127936.1	695
AF127936.2	3890
AF129075.1	794
AF129075.2	636
AF129075.3	731
AF129408.1	431
AF130359.1	438
AF130417.1	478
AF131215.2	1710
AF131215.3	639
AF131215.4	1741
AF131215.5	1939
AF131215.6	2014
AF131215.7	707
AF131216.1	5856
AF131216.3	1099
AF131216.4	1588
AF131216.5	710
AF165147.1	9437
AF178030.1	402
AF181450.1	410
AF186192.1	572
AF186192.3	947
AF196972.1	653
AF212831.1	377
AF213884.3	479
AF228727.1	2466
AF230666.1	1483
AF230666.2	725
AF233439.1	2480
AF233439.2	401
AF233439.3	1348
AF235103.1	439
AF235103.3	4181
AF240627.1	879
AF241725.1	480
AF241728.1	1180
AF241728.2	1223
AF250324.1	610
AF274573.1	520
AF274853.1	4735
AF279873.3	2720
AF279873.4	511
AF287957.1	1595
AF305872.2	2809
AFAP1	10036
AFAP1-AS1	6795
AFAP1L1	6568
AFAP1L2	5789
AFDN	13720
AFDN-DT	4161
AFF1	10733
AFF2	14241
AFF2-IT1	443
AFF3	15660
AFF4	11281
AFG1L	8353
AFG3L2	6624
AFM	2182
AFMID	4048
AFP	3201
AFTPH	5767
AGA	2605
AGAP1	13956
AGAP1-IT1	664
AGAP2	6728
AGAP2-AS1	1500
AGAP3	11299
AGAP4	3474
AGAP5	3115
AGAP6	3160
AGAP9	2387
AGBL1	13593
AGBL1-AS1	2440
AGBL2	5483
AGBL3	7307
AGBL4	7504
AGBL4-IT1	514
AGBL5	5283
AGBL5-AS1	407
AGBL5-IT1	339
AGER	2075
AGFG1	9321
AGFG2	5487
AGGF1	5032
AGK	10697
AGL	8157
AGMAT	3095
AGMO	3588
AGO1	13890
AGO2	15847
AGO3	21153
AGO4	7423
AGPAT1	3593
AGPAT2	1832
AGPAT3	12315
AGPAT4	14253
AGPAT5	6236
AGPS	8850
AGR2	2764
AGR3	1153
AGRN	10761
AGRP	764
AGT	2116
AGTPBP1	4939
AGTR1	3478
AGTR2	2862
AGTRAP	2435
AGXT	4114
AGXT2	3952
AHCTF1	9598
AHCY	3894
AHCYL1	5035
AHCYL2	6858
AHDC1	8297
AHI1	8694
AHNAK	19466
AHNAK2	18788
AHR	8051
AHRR	4510
AHSA1	2944
AHSG	2216
AHSP	526
AICDA	3107
AIDA	4232
AIF1	1243
AIF1L	5299
AIFM1	3306
AIFM2	5135
AIFM3	5401
AIG1	8431
AIM2	1874
AIMP1	8601
AIMP2	1828
AIP	1655
AIPL1	3985
AIRE	4678
AIRN	4374
AJ003147.1	454
AJ003147.2	1851
AJ006995.1	572
AJ009632.1	1376
AJ009632.2	20436
AJ011931.1	2492
AJ011931.2	3765
AJ011932.1	465
AJ239318.1	607
AJ239322.1	2209
AJ239322.2	575
AJ239328.1	4807
AJAP1	12528
AJM1	4387
AJUBA	5885
AK1	2593
AK2	9625
AK3	4395
AK4	7578
AK5	6948
AK6	2140
AK7	4984
AK8	2731
AK9	10098
